,x,y,z
11,-2.912131103515625,3.04547705078125,1.6612684326171876
12,3.019653076171875,2.9738408203125,1.6448323974609376
4,-2.985353515625,-3.05791015625,1.6088511962890626
9,2.878158447265625,-2.770283203125,1.542254638671875
