time_s,to_id,range,from_id,x,y,z,w,rot_x,rot_y,rot_z,tag_pos_x,tag_pos_y,tag_pos_z,bias,gt_range
0.011416802,9,5.78,1,-0.5298141028557063,2.0278984521852443,2.102905162652751,-0.0054878116123940265,0.017648252923262542,-0.004155592585279725,0.9998205609721819,-0.3417017110543622,2.142160757521536,2.195246126639563,-0.12982258523784296,5.909822585237843
0.011427298,12,3.4,1,-0.5298138570588262,2.02789834690163,2.1029052078253554,-0.005487060509699047,0.017648154065275264,-0.004155851330616562,0.999820565764062,-0.3417013099306072,2.1421603223971446,2.1952462635308,-0.10618755681225656,3.5061875568122565
0.01142781,11,2.76,1,-0.5298138450685783,2.027898341765666,2.1029052100289696,-0.005487023871913001,0.017648149242854034,-0.004155863951515719,0.9998205659977931,-0.34170129036378466,2.142160301172048,2.1952462702083415,-0.016368654466273558,2.7763686544662733
0.011428322,4,5.78,1,-0.529813833078316,2.0278983366296854,2.1029052122325904,-0.005486987234254421,0.017648144420425328,-0.004155876572338143,0.9998205662315226,-0.34170127079697993,2.142160279946996,2.1952462768858756,-0.08289083332978198,5.862890833329782
0.111429858,9,5.8,1,-0.5266468483754001,2.025559881995975,2.103411551141776,-0.0020781162057016147,0.017463679602861482,-0.005079916375566797,0.9998324338494834,-0.3377870569267566,2.138370621630121,2.196011314625123,-0.10462409036948817,5.904624090369488
0.111431394,12,3.36,1,-0.5266467838756083,2.025559812309927,2.1034115557397155,-0.0020780802990508817,0.017463694072385183,-0.00507993652990058,0.9998324335689801,-0.33778698154257036,2.138370534668228,2.1960113180705347,-0.1434572270636414,3.5034572270636413
0.111431906,11,2.76,1,-0.5266467623755924,2.025559789080963,2.1034115572723007,-0.00207806832983802,0.017463698895738837,-0.005079943248283928,0.9998324334754748,-0.33778695641431455,2.1383705056804736,2.196011319218935,-0.021373766082259493,2.7813737660822593
0.111432418,4,5.75,1,-0.526646740875534,2.0255597658518587,2.1034115588048556,-0.002078056360460512,0.017463703719182037,-0.005079949966803322,0.9998324333819674,-0.33778693128596204,2.1383704766924914,2.1960113203673015,-0.11137340954400088,5.861373409544001
0.211420642,9,5.79,1,-0.5223618977090412,2.0185508096944496,2.1032636734250523,0.0036261276434738795,0.019036089231162463,-0.009255915019648812,0.9997693766775643,-0.33191882081937785,2.128418142575283,2.1961593333368583,-0.10317081808653672,5.893170818086537
0.211422178,12,3.42,1,-0.5223618391551573,2.0185506705043914,2.1032636735572536,0.0036262508595248048,0.019036108749154977,-0.009256008098781982,0.9997693749972888,-0.33191873106536307,2.128417938986804,2.1961593456701802,-0.0802478242487692,3.500247824248769
0.211422434,11,2.78,1,-0.5223618293962111,2.0185506473059793,2.1032636735793306,0.0036262713956069503,0.019036112002209286,-0.009256023612014126,0.9997693747172388,-0.33191871610636986,2.128417905055285,2.196159347725764,-0.01008991467398701,2.790089914673987
0.21142269,4,5.78,1,-0.5223618196372749,2.0185506241075473,2.1032636736014196,0.0036262919317101403,0.019036115255279457,-0.009256039125258634,0.9997693744371876,-0.3319187011473795,2.128417871123735,2.196159349781356,-0.07522378644597527,5.8552237864459755
0.311433954,9,5.8,1,-0.5191452350398897,2.008321155086248,2.1043856191927235,0.010664762010261822,0.02116419643535144,-0.015142333325314622,0.999604446459686,-0.32675757268078887,2.1143861627698755,2.197692647422502,-0.07886727970074237,5.878867279700742
0.311440098,12,3.42,1,-0.5191450674726099,2.008320478846169,2.104385731866606,0.010664964135715504,0.021164324073342688,-0.015142656570291558,0.9996044367040877,-0.3267573374143214,2.114385347077471,2.1976927790286265,-0.07896855775226364,3.4989685577522636
0.311440354,11,2.76,1,-0.5191450604906942,2.0083204506694345,2.1043857365613636,0.010664972557021785,0.021164329391232434,-0.01514267003890261,0.9996044362976138,-0.32675732761179943,2.1143853130904313,2.1976927845123844,-0.0397929334923135,2.7997929334923133
0.31144061,4,5.73,1,-0.519145053508783,2.0083204224926945,2.1043857412561224,0.01066498097828106,0.02116433470909339,-0.0151426835075193,0.9996044358911407,-0.32675731780929745,2.114385279103402,2.1976927899961556,-0.11529795956521394,5.845297959565214
0.411432674,9,5.78,1,-0.5164797128671736,1.997274239982129,2.1063285035845354,0.012958369062414531,0.023607467827749373,-0.021395608193447137,0.9994083230011829,-0.32313850422917206,2.101252051203041,2.200013037079158,-0.08624275124087966,5.86624275124088
0.411434466,12,3.44,1,-0.5164796588837721,1.9972740447900101,2.106328550305866,0.012958357312843465,0.023607527073316956,-0.021395708452989114,0.9994083196076716,-0.3231384416312715,2.1012518411256647,2.2000130825430637,-0.05912735566787353,3.4991273556678735
0.411434722,11,2.74,1,-0.5164796511718301,1.9972740169054677,2.106328556980404,0.012958355633999488,0.02360753553697114,-0.02139572277555889,0.9994083191228923,-0.32313843268875775,2.101251811114828,2.2000130890379253,-0.06796904499323908,2.8079690449932393
0.411434978,4,5.75,1,-0.5164796434598811,1.997273989020937,2.106328563654958,0.012958353955072052,0.023607544000625733,-0.021395737098073183,0.9994083186381149,-0.3231384237462548,2.1012517811040463,2.200013095532792,-0.08556453844760092,5.835564538447601
0.511425762,9,5.75,1,-0.5132950900729378,1.9882780709671364,2.10977627172887,0.010642380322608903,0.02683419415314667,-0.02404014671751585,0.9992941194218149,-0.31985017410946853,2.092641151431233,2.202816112248568,-0.10761332633858611,5.857613326338586
0.511427042,12,3.44,1,-0.5132950518483367,1.9882779874214336,2.109776317612777,0.01064234310091103,0.02683423770392869,-0.02404014954034238,0.9992941185808358,-0.31985013591907974,2.0926410818475873,2.2028161425423223,-0.0585912225367915,3.4985912225367914
