time_s,range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,x,y,z,w,rot_x,rot_y,rot_z,tag_pos_x,tag_pos_y,tag_pos_z,bias,gt_range,range_calib,bias_calib,std
0.000990059,4.558599948883057,1,11,23026915.877904646,36156723.30416166,36464816.518930286,23335038.827749398,38003534.46764824,24873753.349108573,-87.37830352783203,-86.35919952392578,1.9845999479293823,-2.0441999435424805,0.6796927183656418,0.7906127786976622,2.1757380184150463,0.9630127316617388,0.03744112043882775,0.25068919539139595,-0.0914306757696547,0.5993025413860201,0.592887860016877,2.272056635399833,0.17274417392689578,4.385855774956161,4.390694881932282,0.004839106976120888,0.12830498464913237
0.005664485,3.312000036239624,2,12,28172468.76252003,15109420.040815305,15416018.442007212,28479089.68411959,16954736.390725162,30017809.729942907,-88.15679931640625,-86.94560241699219,-1.542199969291687,0.9639000296592712,0.6795665912068725,0.7909192803689559,2.175822625159887,0.9630288521564537,0.03722937177146034,0.2507326169274388,-0.09122805818630483,0.6395219504272038,0.7961634885759339,2.277581777205829,0.10698033897552595,3.205019697264098,3.2270869918961345,0.022067294632036383,0.12321108881081577
0.008443883,3.6726999282836914,1,12,32026651.454827726,19039767.096103765,19349023.249699518,32335931.881635617,20887741.198417466,33874648.65660056,-88.73179626464844,-88.5634994506836,0.5569000244140625,-0.564300000667572,0.6794910765813107,0.7910991968192623,2.175873385564476,0.9630385021561593,0.037109474062298684,0.2507551224199748,-0.09111311036170561,0.5992711731291636,0.5933562702681325,2.2722969412400613,0.2981497656586627,3.3745501626250287,3.5483074155449636,0.17375725291993493,0.1174921838409928
0.015553458,5.492800235748291,2,4,39171787.672776446,25015508.422851562,25320497.608673878,39476814.528245196,26859215.557391826,41015537.59452624,-90.72940063476562,-91.41380310058594,-3.6740000247955322,3.583699941635132,0.6792953373940989,0.7915473497484301,2.176005547633118,0.9630634958595913,0.036828897020609506,0.25079844896875786,-0.09084312457095244,0.6392613410866224,0.7968112715314125,2.277767870066893,0.14544544600810916,5.347354789740182,5.4301508959257765,0.08279610618559463,0.11337993307760454
0.019615893,5.473800182342529,1,4,43025938.313802086,28945835.60258914,29254840.557391826,43334980.21834936,30793558.506109774,44873700.26417267,-96.1051025390625,-96.1051025390625,-1.3698999881744385,1.375499963760376,0.6791813800049373,0.7917932717453906,2.1760830024858633,0.9630780181548023,0.03668813276183615,0.25081263071138943,-0.09070686929389854,0.5991735391324945,0.5940277301739738,2.2726362829370945,0.2991901428488388,5.1746100394936905,5.392560496676587,0.21795045718289696,0.11569591523478019
0.02358152,1.920199990272522,2,5,47171563.313802086,33906585.349058494,34208302.095853366,47473293.34748097,35747020.04457131,49012013.70630509,-81.35060119628906,-81.15869903564453,-1.1593999862670898,1.5132999420166016,0.6790683159500001,0.7920244103032973,2.176160305089837,0.9630923954694705,0.03656649708433636,0.2508180049827861,-0.09058839581487978,0.6390363048785102,0.7973014383750002,2.2779227297086644,0.0858199488838649,1.834380041388657,1.8307125381439568,-0.003667503244700221,0.14311317603046128
0.027556802,1.8464000225067139,1,5,51025705.942007214,37836927.44328426,38143678.69841747,51332469.325921476,39682396.647135414,52871186.304336935,-80.4540023803711,-79.86530303955078,0.4442000091075897,-0.12380000203847885,0.6789529307144888,0.7922459748681192,2.176239723715009,0.963107017469569,0.03646150202224539,0.2508143754030693,-0.0904852521813444,0.5990543815711267,0.594468383491946,2.2728588015114006,0.2052493175467125,1.6411507049600014,1.7658923343590875,0.12474162939908617,0.07211462716811218
0.031599709,3.714900016784668,2,6,55171346.96764824,2477055.5232121395,2781787.6727764425,55476104.329427086,4320505.621494391,57014824.40655048,-87.88390350341797,-89.72049713134766,-1.431399941444397,1.1576000452041626,0.6788334135246508,0.7924603424135557,2.176322639730383,0.9631220215773354,0.036371509815675884,0.25080204499180125,-0.09039590175691306,0.6387964268732639,0.7977473505825832,2.27808258884838,0.24085136500743953,3.4740486517772284,3.6483151706821713,0.17426651890494282,0.117280831976501
0.036592357,4.074999809265137,1,6,59025465.55739183,6407392.0303735975,6715505.621494391,59333606.11353165,8254223.57021234,60872322.919796675,-87.0094985961914,-89.01229858398438,0.3677999973297119,-0.6100000143051147,0.6786827941841991,0.7927093805740083,2.1764282249908913,0.963140559000443,0.0362817832054782,0.25077641156639136,-0.09030552152348541,0.5988643840847039,0.5949223217929498,2.2730941486037493,0.44676917408023886,3.628230635184898,3.9360393882269427,0.3078087530420448,0.12088448339643189
0.040560567,4.637800216674805,2,7,63171130.62149439,33865983.57371795,34170080.942007214,63475260.24451622,35708798.89072516,65013984.79755108,-84.44509887695312,-85.08409881591797,-4.201099872589111,3.8575000762939453,0.6785606897430009,0.7928946171033254,2.1765148213021828,0.9631551574313248,0.03622579747723827,0.2507491080171869,-0.09024809770384697,0.6385113178229138,0.7981894482156472,2.278269489855024,0.12458638402433309,4.513213832650472,4.530352933732829,0.017139101082357833,0.15306682543666167
0.045211124,4.841700077056885,1,7,808782.8650841346,38796266.041291066,39102781.26252003,1115330.9670472757,40641499.21123798,2654051.779722556,-81.97319793701172,-82.1946029663086,-2.7939000129699707,2.222100019454956,0.6784148877565734,0.7930969917254264,2.1766195142313793,0.9631719433632,0.036175643977706146,0.2507107993081873,-0.09019548442690871,0.5986364511408452,0.5953044945032815,2.273307306086288,0.25510237203254515,4.58659770502434,4.691607201343637,0.10500949631929757,0.16835557473082277
